fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,q_max,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,np_001,ta_min,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,q_mar,inso,p_sol,evap,nw_55,w_racha,nw_91,w_rec,ts_20,ts_10,ts_50,glo
1962-13,2462,91.4(24/abr),144.0,74.0,3.0,115.0,826.9(05/feb),812.6,2.3,29.0(19/ago),18.0,0.0,2.0,89.0,42.0,132.0,131.0,-20.3(25/dic),71.0,12.0,22.0,1451.7,55.0,5.0,8.0,164.0,-12.2,79.0,6.2,10.0,121.0,787.1(06/nov),114.0,1017.9,6.0,47.0,,,,,,,,,
1963-1,2462,83.6(01),23.0,97.0,0.0,27.0,819.7(26),804.3,-4.8,4.4(02),0.0,0.0,0.0,3.0,7.0,5.0,20.0,-10.6(29),50.0,2.0,1.0,263.4,3.0,0.0,9.0,31.0,-7.4,17.0,-2.8,-0.8,27.0,787.9(02),18.0,1015.1,1.6,16.0,,,,,,,,,
1963-2,2462,32.8(10),26.0,97.0,0.0,27.0,811.8(23),801.3,-6.9,2.3(10),0.0,0.0,0.0,0.0,7.0,2.0,26.0,-15.4(02),44.0,1.0,15.0,193.8,0.0,0.0,12.0,28.0,-11.0,26.0,-4.7,-2.4,12.0,788.2(02),21.0,1012.8,0.7,6.0,,,,,,,,,
1963-3,2462,15.0(12),22.0,92.0,0.0,23.0,821.7(05),811.7,-3.4,7.7(18),1.6,0.0,0.0,1.0,3.0,8.0,18.0,-10.0(24),55.0,0.0,10.0,97.1,3.0,0.0,13.0,27.0,-6.0,15.0,-0.7,2.1,11.0,799.9(11),16.0,1022.4,2.6,22.0,,,,,,,,,
1963-4,2462,63.0(08),12.0,80.0,1.0,13.0,816.3(14),807.4,-1.0,9.6(24),3.0,0.0,0.0,2.0,4.0,16.0,15.0,-8.0(05),58.0,1.0,9.0,158.7,3.0,0.0,10.0,19.0,-2.0,11.0,2.2,5.5,6.0,787.9(09),14.0,1014.5,6.2,46.0,,,,,,,,,
1963-5,2462,8.6(29),6.0,68.0,1.0,6.0,820.7(14),812.7,2.4,18.4(13),6.0,0.0,0.0,6.0,0.0,19.0,9.0,-5.4(16),72.0,0.0,2.0,28.3,8.0,0.0,6.0,5.0,6.0,0.0,7.2,12.0,1.0,804.2(02),8.0,1016.7,9.4,65.0,,,,,,,,,
1963-6,2462,24.7(29),12.0,73.0,4.0,9.0,819.4(22),812.7,6.3,23.1(21),12.9,0.0,0.0,6.0,3.0,12.0,13.0,-0.8(03),92.0,0.0,5.0,110.7,7.0,7.0,8.0,3.0,3.0,3.0,10.7,15.1,5.0,802.6(02),13.0,1014.2,8.3,55.0,,,,,,,,,
1963-7,2462,16.2(24),0.0,61.0,1.0,1.0,821.7(15),816.6,10.5,24.6(16),14.6,0.0,0.0,7.0,1.0,24.0,6.0,5.3(13),107.0,0.0,0.0,31.3,5.0,3.0,8.0,0.0,12.5,0.0,15.6,20.6,1.0,810.6(13),5.0,1015.1,11.9,81.0,,,,,,,,,
1963-8,2462,6.0(26),5.0,61.0,1.0,7.0,820.7(25),814.5,8.9,27.0(10),16.3,0.0,0.0,10.0,0.0,16.0,2.0,2.6(18),96.0,0.0,4.0,8.0,3.0,1.0,10.0,0.0,12.9,0.0,14.3,19.7,2.0,809.0(31),2.0,1013.7,9.8,71.0,2013.0,,,,,,,,
1963-9,2462,29.5(13),11.0,75.0,2.0,11.0,824.3(27),814.8,5.7,21.4(27),12.2,0.0,0.0,3.0,4.0,16.0,14.0,0.8(01),91.0,0.0,7.0,125.8,15.0,2.0,6.0,0.0,6.0,0.0,9.9,14.0,7.0,806.9(11),12.0,1017.2,6.1,49.0,,,,,,,,,
