fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,np_100,n_nub,p_sol,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,nw_55,w_racha,nw_91,w_rec,w_med,ts_20,ts_10,ts_50
1924-12,3195,6.4(26),8.0,,0.0,7.0,4.1,955.8(06),1025.5,945.3,1.8,14.6(06),6.8,0.0,,9.0,0.0,14.0,44.0,11.0,-2.6(13),,0.0,,169.0,25.4,14.0,1.0,11.0,4.8,0.0,5.3,8.7,,923.7(02),8.0,0.0,32/13.9(02),0.0,,2.0,,,
1924-13,3195,28.2(07/sep),85.0,,4.0,24.0,7.4,955.8(06/dic),,940.3,8.5,36.3(06/ago),21.8,56.0,,132.0,8.0,147.0,59.0,82.0,-3.8(08/feb),,0.0,,,392.7,102.0,7.0,44.0,2.5,5.0,13.8,19.1,,919.1(16/ene),58.0,,,,,,,,
1925-1,3195,0.8(27),10.0,,1.0,9.0,5.0,962.9(16),1032.6,952.8,1.0,12.8(17),4.8,0.0,,13.0,0.0,8.0,51.0,1.0,-2.7(13),,0.0,,203.0,0.8,5.0,0.0,13.0,6.0,0.0,5.2,9.3,,947.7(10),0.0,0.0,36/6.1(08),0.0,,1.0,,,
1925-2,3195,16.8(13),8.0,,2.0,2.0,5.9,956.9(04),,940.7,0.7,13.4(10),5.6,0.0,,10.0,1.0,10.0,56.0,11.0,-1.9(08),69.0,0.0,,274.0,41.8,7.0,0.0,14.0,6.0,4.0,5.3,9.7,,914.9(14),7.0,0.0,25/12.5(13),0.0,,6.0,,,
1925-3,3195,5.4(31),7.0,,0.0,1.0,7.0,946.6(16),,938.7,0.4,18.6(17),6.4,0.0,,9.0,0.0,15.0,59.0,2.0,-3.5(23),,0.0,,604.0,6.0,10.0,0.0,12.0,7.4,3.0,6.1,11.8,,925.5(02),1.0,1.0,05/16.4(12),0.0,,7.0,,,
1925-4,3195,8.8(20),8.0,58.0,1.0,1.0,7.6,949.4(15),1016.0,939.0,5.6,24.4(18),9.8,0.0,,1.0,0.0,21.0,56.0,10.0,-1.6(03),82.0,0.0,,691.0,34.7,10.0,1.0,1.0,10.3,0.0,11.3,17.0,,927.5(06),6.0,0.0,25/10.3(25),0.0,,9.0,,,
1925-5,3195,11.2(17),6.0,57.0,1.0,0.0,10.0,950.5(31),1014.3,938.3,8.9,27.2(31),14.0,0.0,,5.0,1.0,20.0,69.0,10.0,2.7(11),99.0,0.0,,805.0,44.6,11.0,1.0,0.0,12.2,0.0,14.5,20.1,,928.3(18),10.0,0.0,23/10.8(28),0.0,,7.0,,,
1925-6,3195,16.7(20),11.0,62.0,1.0,0.0,8.6,945.3(09),1014.5,939.6,13.9,28.8(12),17.7,0.0,,4.0,2.0,15.0,57.0,18.0,10.1(06),144.0,0.0,,826.0,74.0,17.0,10.0,0.0,20.2,0.0,19.7,25.4,,932.6(02),15.0,1.0,11/17.5(09),0.0,,6.0,,,
1925-7,3195,2.5(21),4.0,52.0,0.0,0.0,11.0,949.7(07),1015.0,940.6,15.2,33.5(30),20.6,8.0,,9.0,0.0,18.0,74.0,3.0,9.4(23),139.0,0.0,,1209.0,5.0,7.0,3.0,0.0,18.7,0.0,21.2,27.2,,931.9(03),2.0,1.0,18/20.6(14),0.0,,7.0,,,
1925-8,3195,4.2(23),3.0,47.0,0.0,0.0,11.0,948.9(28),1015.7,941.6,16.3,35.3(16),22.0,16.0,,16.0,0.0,12.0,80.0,2.0,11.0(23),140.0,0.0,,1392.0,5.5,4.0,0.0,0.0,22.4,0.0,22.6,28.9,,933.8(23),2.0,0.0,25/9.4(23),0.0,,7.0,,,
1925-9,3195,10.3(22),3.0,55.0,0.0,0.0,8.9,947.9(25),1017.2,941.7,12.1,30.8(02),17.8,2.0,,11.0,1.0,16.0,71.0,3.0,5.4(24),122.0,0.0,,992.0,16.1,4.0,0.0,0.0,16.7,0.0,18.3,24.4,,934.3(23),3.0,1.0,05/16.1(30),0.0,,5.0,,,
1925-10,3195,10.4(09),6.0,72.0,0.0,3.0,6.3,947.5(05),1017.4,940.5,9.3,23.5(04),12.5,0.0,,9.0,1.0,16.0,56.0,10.0,4.8(26),114.0,0.0,,454.0,37.3,10.0,1.0,0.0,13.5,0.0,13.9,18.4,,927.9(23),8.0,1.0,27/15.8(30),0.0,,3.0,,,
1925-11,3195,44.7(27),14.0,78.0,0.0,7.0,4.1,948.1(06),1016.6,938.0,3.1,16.6(04),9.2,0.0,,5.0,2.0,11.0,41.0,10.0,-3.0(26),80.0,1.0,,248.0,72.6,10.0,0.0,6.0,3.9,1.0,6.8,10.4,,916.2(28),6.0,5.0,23/19.2(07),0.0,,7.0,,,
1925-12,3195,14.1(08),20.0,88.0,0.0,4.0,2.0,955.7(31),1021.8,942.3,3.6,13.2(11),10.1,0.0,,3.0,3.0,8.0,21.0,16.0,-3.5(17),86.0,0.0,,,76.1,17.0,0.0,6.0,4.5,0.0,6.0,8.3,,916.5(20),12.0,0.0,25/13.6(21),0.0,,6.0,,,
